College_ID,IQ,Previous_Sem_Percentage,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Project_Count,Placement,Average_Score
CLG0030,107,6.61,6.28,8,0,8,8,4,Not Placed,39.96
CLG0061,97,5.52,5.37,8,0,7,8,0,Placed,35.96
CLG0036,109,5.36,5.83,9,0,3,1,1,Not Placed,40.06
CLG0055,122,5.47,5.75,6,0,1,6,1,Not Placed,44.41
CLG0004,96,7.91,7.69,7,0,8,10,2,Placed,37.2
CLG0015,96,5.26,5.32,7,0,5,8,0,Not Placed,35.53
CLG0071,123,6.68,6.58,5,0,7,8,2,Placed,45.42
CLG0096,111,8.77,8.76,7,0,3,1,2,Placed,42.84
CLG0097,92,6.47,6.33,9,0,7,8,5,Not Placed,34.93
CLG0057,108,8.82,8.6,4,0,5,9,1,Placed,41.81
CLG0063,93,8.73,8.9,2,0,5,6,0,Not Placed,36.88
CLG0077,93,6.23,6.51,8,0,5,7,4,Not Placed,35.25
CLG0064,103,8.64,9.01,7,0,8,6,1,Placed,40.22
CLG0017,71,8.74,8.4,6,0,0,5,2,Placed,29.38
CLG0053,74,6.99,7.31,7,0,0,1,2,Not Placed,29.43
CLG0040,91,6.05,5.8,3,0,4,2,3,Placed,34.28
CLG0070,84,7.61,7.54,6,0,0,10,0,Placed,33.05
CLG0050,104,9.61,10.01,10,0,9,2,4,Placed,41.21
CLG0068,86,8.2,8.15,7,0,8,9,4,Placed,34.12
CLG0015,78,5.86,5.56,7,0,3,6,2,Placed,29.81
CLG0072,121,8.41,8.07,5,0,1,3,3,Not Placed,45.83
CLG0034,96,7.14,7.11,3,0,2,3,3,Not Placed,36.75
CLG0030,101,7.96,8.22,2,0,8,10,0,Not Placed,39.06
CLG0087,78,8.67,9.17,7,0,10,10,2,Placed,31.95
CLG0073,91,7.57,7.86,4,0,7,2,2,Placed,35.48
CLG0024,101,9.07,9.45,2,0,2,7,2,Placed,39.84
CLG0008,82,8.61,8.86,8,0,7,1,0,Placed,33.16
CLG0057,105,8.08,8.48,2,0,3,1,4,Placed,40.52
CLG0070,90,5.75,5.33,6,0,5,10,1,Placed,33.69
CLG0025,95,9.18,9.61,4,0,3,3,3,Not Placed,37.93
CLG0077,90,9.68,9.58,9,0,10,1,4,Placed,36.42
CLG0034,127,5.68,6.1,5,0,4,3,1,Placed,46.26
CLG0025,99,7.44,7.02,4,0,9,9,4,Placed,37.82
CLG0018,84,6.29,6.51,8,0,8,7,4,Placed,32.27
CLG0073,112,8.77,9.01,3,0,1,9,4,Not Placed,43.26
